"","date","open","high","low","close","volume","Name","pivot_point","support_1","resistance_1","support_2","resistance_2","resistance_3","support_3","price_difference","R1","R2","R3","R4","R5","S1","S2","S3","S4","S5","ema","rsi"
"1","2006-01-02 00:00:00+05:30",4566.95,4601.35,4542,4556.25,0,"NIFTY BANK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2006-01-03 00:00:00+05:30",4531.45,4605.45,4531.45,4600.25,0,"NIFTY BANK",4566.53333333333,4531.72,4591.07,4507.18,4625.88,4685.23,4447.83,59.3500000000004,4580.54,4589.21,4596.21,4603.21,4625.88,4552.53,4543.86,4536.86,4529.86,4507.18,NA,NA
"3","2006-01-04 00:00:00+05:30",4619.55,4707.6,4616.05,4694.14,0,"NIFTY BANK",4579.05,4552.65,4626.65,4505.05,4653.05,4727.05,4431.05,74,4596.51,4607.32,4616.05,4624.78,4653.05,4561.59,4550.78,4542.05,4533.32,4505.05,NA,NA
"4","2006-01-05 00:00:00+05:30",4714.2,4782.64,4670.55,4760.45,0,"NIFTY BANK",4672.59666666667,4637.59,4729.14,4581.05,4764.15,4855.7,4489.5,91.5500000000002,4694.2,4707.57,4718.37,4729.17,4764.15,4650.99,4637.62,4626.82,4616.02,4581.05,NA,NA
"5","2006-01-06 00:00:00+05:30",4767.25,4802.8,4703.1,4755.6,0,"NIFTY BANK",4737.88,4693.12,4805.21,4625.79,4849.97,4962.06,4513.7,112.09,4764.33,4780.7,4793.92,4807.15,4849.97,4711.43,4695.06,4681.84,4668.61,4625.79,NA,NA
"6","2006-01-09 00:00:00+05:30",4758.1,4777.05,4676.1,4695.6,0,"NIFTY BANK",4753.83333333333,4704.87,4804.57,4654.13,4853.53,4953.23,4554.43,99.6999999999998,4777.36,4791.92,4803.68,4815.45,4853.53,4730.3,4715.75,4703.98,4692.22,4654.13,NA,NA
"7","2006-01-10 00:00:00+05:30",4698.8,4724.85,4617.6,4629.1,0,"NIFTY BANK",4716.25,4655.45,4756.4,4615.3,4817.2,4918.15,4514.35,100.95,4740.07,4754.81,4766.73,4778.64,4817.2,4692.43,4677.69,4665.78,4653.86,4615.3,NA,NA
"8","2006-01-12 00:00:00+05:30",4629.64,4659,4592,4635.35,0,"NIFTY BANK",4657.18333333333,4589.52,4696.77,4549.93,4764.43,4871.68,4442.68,107.25,4682.49,4698.15,4710.81,4723.46,4764.43,4631.87,4616.21,4603.56,4590.9,4549.93,NA,NA
"9","2006-01-13 00:00:00+05:30",4634.25,4672.14,4589.45,4602.55,0,"NIFTY BANK",4628.78333333333,4598.57,4665.57,4561.78,4695.78,4762.78,4494.78,67,4644.6,4654.38,4662.28,4670.19,4695.78,4612.97,4603.19,4595.28,4587.38,4561.78,NA,NA
"10","2006-01-16 00:00:00+05:30",4602.95,4615.95,4533.8,4558.14,0,"NIFTY BANK",4621.38,4570.62,4653.31,4538.69,4704.07,4786.76,4456,82.6900000000005,4640.89,4652.97,4662.73,4672.48,4704.07,4601.87,4589.79,4580.04,4570.28,4538.69,4648.743,NA
