date,open,high,low,close,volume,Name
2019-01-14T09:15:00+0530,10807,10807,10727.8,10737.35,0,Nifty
2019-01-14T09:30:00+0530,10737.45,10746.7,10733.85,10745.7,0,Nifty
2019-01-14T09:45:00+0530,10746.1,10748.7,10723,10728.7,0,Nifty
2019-01-14T10:00:00+0530,10728.3,10730.3,10711.5,10712.9,0,Nifty
2019-01-14T10:15:00+0530,10712.8,10722.45,10709.35,10714.95,0,Nifty
2019-01-14T10:30:00+0530,10715.15,10729.05,10714.75,10728.75,0,Nifty
2019-01-14T10:45:00+0530,10729.1,10735.65,10722.7,10727.75,0,Nifty
2019-01-14T11:00:00+0530,10728,10729.4,10718.95,10720.85,0,Nifty
2019-01-14T11:15:00+0530,10720.75,10720.85,10714.9,10718.35,0,Nifty
2019-01-14T11:30:00+0530,10718.2,10721.4,10712.1,10713.4,0,Nifty
2019-01-14T11:45:00+0530,10713.55,10718.65,10692.5,10694.55,0,Nifty
2019-01-14T12:00:00+0530,10694.1,10703.35,10692.45,10698.85,0,Nifty
2019-01-14T12:15:00+0530,10699.2,10706.15,10699,10703.75,0,Nifty
2019-01-14T12:30:00+0530,10704.2,10712.05,10704.05,10707.2,0,Nifty
2019-01-14T12:45:00+0530,10707.25,10711.85,10701.3,10709.6,0,Nifty
2019-01-14T13:00:00+0530,10709.65,10715.65,10705.15,10705.5,0,Nifty
2019-01-14T13:15:00+0530,10705.1,10709.8,10703.15,10705.95,0,Nifty
2019-01-14T13:30:00+0530,10705.6,10728.55,10704.45,10721,0,Nifty
2019-01-14T13:45:00+0530,10720.6,10721.4,10711.75,10713.75,0,Nifty
2019-01-14T14:00:00+0530,10713.9,10729.75,10705.35,10726.95,0,Nifty
2019-01-14T14:15:00+0530,10726.85,10732.75,10722.85,10728.95,0,Nifty
2019-01-14T14:30:00+0530,10729,10735.65,10723.25,10730.75,0,Nifty
2019-01-14T14:45:00+0530,10730.85,10735.05,10725.3,10728.1,0,Nifty
2019-01-14T15:00:00+0530,10729.05,10742.9,10728.7,10739.25,0,Nifty
2019-01-14T15:15:00+0530,10738.55,10743.85,10731.5,10741.05,0,Nifty
